date;ecoli
02.07.2025;9078
09.07.2025;23671
23.07.2025;34659
30.07.2025;16740
06.08.2025;10687
13.08.2025;5035
20.08.2025;12687
27.08.2025;34000
17.09.2025;20795
08.10.2025;9043
15.10.2025;5035
22.10.2025;2792
29.10.2025;2792
